concurso,data,numero_1,numero_2,numero_3,numero_4,numero_5,numero_6,acumulou,valor_acumulado
54,1997-03-16,5,9,18,21,36,56,False,0.0
55,1997-03-23,2,14,23,29,38,52,False,0.0
56,1997-03-30,2,7,20,35,51,59,False,0.0
57,1997-04-06,7,16,17,27,34,59,False,0.0
58,1997-04-13,12,27,30,37,44,49,False,0.0
59,1997-04-20,2,8,13,28,34,54,False,0.0
60,1997-04-27,3,14,15,20,21,38,False,0.0
61,1997-05-04,8,18,29,42,44,59,False,0.0
62,1997-05-11,6,8,13,24,31,52,False,0.0
63,1997-05-18,9,25,26,40,41,49,False,0.0
64,1997-05-25,8,12,23,50,54,60,False,0.0
65,1997-06-01,1,5,20,25,32,34,False,0.0
66,1997-06-08,12,13,15,26,33,48,False,0.0
67,1997-06-15,12,14,17,27,47,52,False,0.0
68,1997-06-22,1,3,12,13,53,59,False,0.0
69,1997-06-29,25,34,45,53,56,58,False,0.0
70,1997-07-06,17,23,27,40,43,58,False,0.0
71,1997-07-13,16,27,33,43,45,53,False,0.0
72,1997-07-20,1,19,34,43,44,48,False,0.0
73,1997-07-27,25,26,28,45,51,57,False,0.0
74,1997-08-03,2,24,34,37,38,50,False,0.0
75,1997-08-10,21,24,35,36,37,49,False,0.0
76,1997-08-17,8,17,18,23,33,53,False,0.0
77,1997-08-24,21,29,40,49,54,57,False,0.0
78,1997-08-31,12,22,25,31,32,46,False,0.0
79,1997-09-07,2,13,17,25,31,43,False,0.0
80,1997-09-14,23,28,37,40,48,51,False,0.0
81,1997-09-21,10,23,41,47,54,60,False,0.0
82,1997-09-28,15,18,29,36,51,53,False,0.0
83,1997-10-05,4,15,16,24,42,57,False,0.0
84,1997-10-12,4,6,10,25,34,40,False,0.0
85,1997-10-19,6,15,30,37,45,47,False,0.0
86,1997-10-26,6,21,22,34,36,54,False,0.0
87,1997-11-02,4,5,11,28,32,40,False,0.0
88,1997-11-09,4,18,29,37,43,45,False,0.0
89,1997-11-16,13,34,42,44,55,59,False,0.0
90,1997-11-23,9,21,26,40,52,54,False,0.0
91,1997-11-30,2,4,10,35,39,60,False,0.0
92,1997-12-07,1,3,5,23,24,51,False,0.0
93,1997-12-14,2,22,28,31,36,53,False,0.0
94,1997-12-21,8,18,28,51,52,55,False,0.0
95,1997-12-28,6,40,45,46,50,60,False,0.0
96,1998-01-04,4,7,26,40,42,58,False,0.0
97,1998-01-11,5,11,14,35,53,56,False,0.0
98,1998-01-18,13,14,31,33,35,43,False,0.0
99,1998-01-25,11,24,30,33,46,60,False,0.0
100,1998-02-01,14,29,30,46,48,51,False,0.0
101,1998-02-08,1,18,29,31,37,39,False,0.0
102,1998-02-15,19,20,37,42,44,56,False,0.0
103,1998-02-22,1,7,9,49,54,57,False,0.0
104,1998-03-01,1,4,13,21,38,52,False,0.0
105,1998-03-08,3,13,31,43,46,49,False,0.0
106,1998-03-15,5,16,24,35,38,39,False,0.0
107,1998-03-22,2,4,16,24,51,52,False,0.0
108,1998-03-29,21,24,29,34,59,60,False,0.0
109,1998-04-04,1,13,44,48,49,54,False,0.0
110,1998-04-11,18,31,43,52,57,58,False,0.0
111,1998-04-18,4,22,25,32,33,52,False,0.0
112,1998-04-25,12,20,34,37,42,43,False,0.0
113,1998-05-02,7,26,28,34,54,55,False,0.0
114,1998-05-09,6,12,18,37,47,54,False,0.0
115,1998-05-16,4,6,14,20,24,38,False,0.0
116,1998-05-23,5,13,32,36,42,51,False,0.0
117,1998-05-30,20,25,27,33,42,53,False,0.0
118,1998-06-06,9,22,25,37,56,57,False,0.0
119,1998-06-13,1,21,36,38,47,50,False,0.0
120,1998-06-20,3,16,27,40,45,46,False,0.0
121,1998-06-27,2,29,41,44,53,55,False,0.0
122,1998-07-04,11,17,20,39,43,53,False,0.0
123,1998-07-11,13,14,16,26,32,42,False,0.0
124,1998-07-18,5,15,34,41,52,57,False,0.0
125,1998-07-25,25,41,47,53,56,59,False,0.0
126,1998-08-01,6,10,11,28,32,40,False,0.0
127,1998-08-08,21,29,50,51,54,59,False,0.0
128,1998-08-15,3,9,18,21,23,43,False,0.0
129,1998-08-22,1,9,10,32,46,54,False,0.0
130,1998-08-29,13,29,38,42,49,53,False,0.0
131,1998-09-05,4,9,17,27,30,44,False,0.0
132,1998-09-12,7,9,35,41,44,50,False,0.0
133,1998-09-19,5,6,19,34,39,57,False,0.0
134,1998-09-26,4,25,32,36,52,60,False,0.0
135,1998-10-03,21,22,35,40,53,59,False,0.0
136,1998-10-10,1,17,25,38,45,59,False,0.0
137,1998-10-17,15,16,19,22,26,49,False,0.0
138,1998-10-24,5,14,27,37,40,41,False,0.0
139,1998-10-31,3,13,26,27,41,42,False,0.0
140,1998-11-07,7,31,41,44,46,55,False,0.0
141,1998-11-14,10,13,22,41,42,58,False,0.0
142,1998-11-21,8,15,19,20,54,59,False,0.0
143,1998-11-28,6,18,20,40,50,53,False,0.0
144,1998-12-05,8,32,36,44,45,55,False,0.0
145,1998-12-12,15,16,31,41,43,51,False,0.0
146,1998-12-19,25,32,34,42,51,60,False,0.0
147,1998-12-24,6,16,23,24,28,38,False,0.0
148,1998-12-31,32,35,41,55,58,59,False,0.0
149,1999-01-09,7,11,20,28,45,48,False,0.0
150,1999-01-16,12,44,50,52,54,55,False,0.0
151,1999-01-23,3,16,20,43,52,56,False,0.0
152,1999-01-30,5,12,15,29,51,58,False,0.0
153,1999-02-06,2,30,31,42,45,47,False,0.0
154,1999-02-13,8,10,24,33,45,48,False,0.0
155,1999-02-20,12,30,32,35,43,44,False,0.0
156,1999-02-27,17,23,42,49,52,55,False,0.0
157,1999-03-06,4,13,17,21,41,44,False,0.0
158,1999-03-13,4,14,17,43,51,58,False,0.0
159,1999-03-20,9,11,16,35,50,58,False,0.0
160,1999-03-27,2,13,42,52,54,58,False,0.0
161,1999-04-03,6,25,30,37,39,41,False,0.0
162,1999-04-10,21,23,33,38,48,51,False,0.0
163,1999-04-17,8,27,36,41,53,56,False,0.0
164,1999-04-24,4,10,14,19,28,44,False,0.0
165,1999-05-01,10,19,23,35,39,56,False,0.0
166,1999-05-08,12,13,22,57,59,60,False,0.0
167,1999-05-15,1,11,28,33,38,48,False,0.0
168,1999-05-22,2,9,31,35,45,50,False,0.0
169,1999-05-29,1,13,21,37,51,52,False,0.0
170,1999-06-05,7,41,46,51,55,58,False,0.0
171,1999-06-12,4,27,40,43,46,54,False,0.0
172,1999-06-19,10,14,26,35,36,49,False,0.0
173,1999-06-26,17,28,29,42,49,50,False,0.0
174,1999-07-03,11,22,23,36,52,59,False,0.0
175,1999-07-10,1,10,13,20,42,50,False,0.0
176,1999-07-17,1,3,4,28,45,53,False,0.0
177,1999-07-24,22,35,38,39,41,59,False,0.0
178,1999-07-31,5,15,19,26,27,33,False,0.0
179,1999-08-07,5,6,23,26,27,53,False,0.0
180,1999-08-14,6,23,29,39,51,60,False,0.0
181,1999-08-21,1,27,33,35,51,55,False,0.0
182,1999-08-28,3,5,10,28,46,60,False,0.0
183,1999-09-04,2,7,11,16,40,44,False,0.0
184,1999-09-11,9,16,21,34,41,60,False,0.0
185,1999-09-18,17,22,43,46,55,59,False,0.0
186,1999-09-25,14,23,24,25,26,51,False,0.0
187,1999-10-02,6,36,41,44,48,58,False,0.0
188,1999-10-10,17,27,34,42,43,46,False,0.0
189,1999-10-16,4,15,31,38,41,53,False,0.0
190,1999-10-24,5,10,21,32,40,42,False,0.0
191,1999-10-31,1,3,5,23,41,58,False,0.0
192,1999-11-06,1,26,28,41,54,60,False,0.0
193,1999-11-13,4,11,12,19,43,49,False,0.0
194,1999-11-20,25,28,32,33,42,43,False,0.0
195,1999-11-27,3,9,17,32,37,44,False,0.0
196,1999-12-04,7,9,14,17,24,32,False,0.0
197,1999-12-11,5,12,15,19,29,52,False,0.0
198,1999-12-18,1,8,18,23,35,40,False,0.0
199,1999-12-24,10,16,37,50,52,57,False,0.0
200,1999-12-31,12,15,19,34,44,51,False,0.0
201,2000-01-08,5,20,22,30,35,55,False,0.0
202,2000-01-15,12,24,44,45,49,53,False,0.0
203,2000-01-22,11,19,29,44,47,55,False,0.0
204,2000-01-29,29,31,39,41,51,58,False,0.0
205,2000-02-05,26,32,40,43,46,54,False,0.0
206,2000-02-12,18,20,26,34,51,56,False,0.0
207,2000-02-19,3,7,19,24,53,55,False,0.0
208,2000-02-26,15,23,24,25,47,57,False,0.0
209,2000-03-04,13,21,26,32,41,52,False,0.0
210,2000-03-11,20,32,37,38,48,58,False,0.0
211,2000-03-18,10,20,33,40,45,50,False,0.0
212,2000-03-25,6,15,29,45,57,59,False,0.0
213,2000-04-01,3,9,23,30,32,35,False,0.0
214,2000-04-08,6,12,30,31,35,50,False,0.0
215,2000-04-15,7,28,37,46,53,58,False,0.0
216,2000-04-22,14,18,30,35,42,59,False,0.0
217,2000-04-29,3,27,32,45,49,51,False,0.0
218,2000-05-06,12,17,40,42,47,54,False,0.0
219,2000-05-13,23,26,28,36,42,49,False,0.0
220,2000-05-20,13,14,36,53,55,60,False,0.0
221,2000-05-27,13,27,43,50,54,58,False,0.0
222,2000-06-03,5,19,30,48,52,55,False,0.0
223,2000-06-10,2,6,22,24,28,58,False,0.0
224,2000-06-17,7,16,18,20,21,44,False,0.0
225,2000-06-24,2,4,16,21,37,58,False,0.0
226,2000-07-01,1,2,38,49,50,59,False,0.0
227,2000-07-08,11,26,27,37,42,48,False,0.0
228,2000-07-15,13,16,40,43,45,59,False,0.0
229,2000-07-22,11,13,21,33,39,45,False,0.0
230,2000-07-29,8,40,41,44,53,56,False,0.0
231,2000-08-05,16,27,36,42,44,59,False,0.0
232,2000-08-12,19,22,29,37,41,59,False,0.0
233,2000-08-19,3,7,24,32,36,45,False,0.0
234,2000-08-26,15,25,41,42,45,54,False,0.0
235,2000-09-02,2,22,29,31,41,55,False,0.0
236,2000-09-09,10,25,50,52,57,60,False,0.0
237,2000-09-16,7,31,36,45,56,57,False,0.0
238,2000-09-23,9,13,15,37,41,42,False,0.0
239,2000-09-30,6,21,33,44,46,47,False,0.0
240,2000-10-07,25,28,38,41,57,59,False,0.0
241,2000-10-14,11,31,35,40,56,57,False,0.0
242,2000-10-21,4,7,21,22,28,56,False,0.0
243,2000-10-28,11,16,20,23,32,47,False,0.0
244,2000-11-04,19,24,33,47,50,60,False,0.0
245,2000-11-11,8,27,44,51,53,60,False,0.0
246,2000-11-18,2,16,32,37,43,57,False,0.0
247,2000-11-25,3,10,23,30,34,46,False,0.0
248,2000-12-02,16,32,34,35,41,56,False,0.0
249,2000-12-09,21,36,40,49,54,55,False,0.0
250,2000-12-16,7,25,41,42,43,55,False,0.0
251,2000-12-23,15,23,30,34,49,55,False,0.0
252,2000-12-30,4,17,26,32,51,54,False,0.0
253,2001-01-06,11,12,24,37,44,56,False,0.0
254,2001-01-13,1,4,21,22,30,56,False,0.0
255,2001-01-20,16,19,20,32,44,55,False,0.0
256,2001-01-27,2,21,26,32,34,52,False,0.0
257,2001-02-03,1,4,5,19,28,34,False,0.0
258,2001-02-10,7,12,50,54,55,60,False,0.0
259,2001-02-17,13,15,20,33,43,58,False,0.0
260,2001-02-24,4,6,33,43,59,60,False,0.0
261,2001-03-03,5,16,20,30,54,56,False,0.0
262,2001-03-10,11,20,48,53,58,60,False,0.0
263,2001-03-17,8,9,26,43,50,53,False,0.0
264,2001-03-24,1,5,13,25,31,33,False,0.0
265,2001-03-31,7,16,34,41,50,53,False,0.0
266,2001-04-07,2,23,38,46,48,54,False,0.0
267,2001-04-14,1,8,45,46,55,58,False,0.0
268,2001-04-21,5,6,10,21,33,47,False,0.0
269,2001-04-28,17,18,19,25,49,52,False,0.0
270,2001-05-05,5,9,27,35,40,45,False,0.0
271,2001-05-12,14,24,26,29,31,54,False,0.0
272,2001-05-19,9,10,24,36,56,58,False,0.0
273,2001-05-26,10,17,23,27,47,52,False,0.0
274,2001-06-02,11,13,18,26,39,47,False,0.0
275,2001-06-09,16,19,30,37,38,48,False,0.0
276,2001-06-16,22,39,45,53,57,59,False,0.0
277,2001-06-23,4,26,38,40,52,56,False,0.0
278,2001-06-30,10,15,18,22,31,55,False,0.0
279,2001-07-07,4,23,31,47,58,59,False,0.0
280,2001-07-14,5,16,20,25,30,58,False,0.0
281,2001-07-21,5,11,31,38,47,53,False,0.0
282,2001-07-28,9,14,23,24,33,36,False,0.0
283,2001-08-01,25,28,34,42,48,54,False,0.0
284,2001-08-04,7,8,14,30,32,36,False,0.0
285,2001-08-08,12,32,37,41,50,56,False,0.0
286,2001-08-11,29,35,37,44,47,56,False,0.0
287,2001-08-15,3,13,25,33,47,60,False,0.0
288,2001-08-18,6,9,11,17,18,50,False,0.0
289,2001-08-22,6,7,20,25,30,36,False,0.0
290,2001-08-25,7,25,26,30,40,57,False,0.0
291,2001-08-29,5,16,17,18,22,41,False,0.0
292,2001-09-01,13,23,24,34,45,53,False,0.0
293,2001-09-05,5,6,7,12,28,35,False,0.0
294,2001-09-08,22,25,28,41,45,57,False,0.0
295,2001-09-12,7,12,24,31,44,50,False,0.0
296,2001-09-15,3,20,42,46,51,52,False,0.0
297,2001-09-19,1,20,28,33,36,41,False,0.0
298,2001-09-22,5,22,23,24,34,60,False,0.0
299,2001-09-26,2,5,7,33,49,53,False,0.0
300,2001-09-29,24,27,28,38,41,57,False,0.0
301,2001-10-03,9,26,48,49,57,58,False,0.0
302,2001-10-06,12,25,30,40,41,60,False,0.0
303,2001-10-10,7,13,17,30,37,47,False,0.0
304,2001-10-13,7,11,34,41,42,59,False,0.0
305,2001-10-17,5,11,27,38,53,60,False,0.0
306,2001-10-20,19,30,41,47,56,57,False,0.0
307,2001-10-24,13,16,17,26,41,44,False,0.0
308,2001-10-27,4,11,25,29,39,55,False,0.0
309,2001-10-31,4,11,25,39,50,55,False,0.0
310,2001-11-03,2,14,28,29,31,32,False,0.0
311,2001-11-07,22,24,30,32,38,41,False,0.0
312,2001-11-10,14,23,30,41,47,50,False,0.0
313,2001-11-14,14,16,24,37,38,53,False,0.0
314,2001-11-17,5,32,34,37,40,58,False,0.0
315,2001-11-21,12,21,22,28,43,50,False,0.0
316,2001-11-24,6,24,28,43,51,56,False,0.0
317,2001-11-28,16,20,27,30,35,48,False,0.0
318,2001-12-01,3,19,20,31,40,53,False,0.0
319,2001-12-05,12,16,17,19,23,48,False,0.0
320,2001-12-08,20,22,27,47,50,53,False,0.0
321,2001-12-12,4,11,31,32,48,49,False,0.0
322,2001-12-15,11,18,29,44,47,56,False,0.0
323,2001-12-19,26,31,33,40,49,54,False,0.0
324,2001-12-22,8,15,22,25,30,47,False,0.0
325,2001-12-29,1,3,4,21,23,53,False,0.0
326,2002-01-05,21,23,40,44,51,52,False,0.0
327,2002-01-09,29,32,33,38,46,48,False,0.0
328,2002-01-12,5,7,14,21,23,51,False,0.0
329,2002-01-16,10,11,12,24,35,40,False,0.0
330,2002-01-19,2,4,14,23,37,51,False,0.0
331,2002-01-23,1,13,20,27,35,37,False,0.0
332,2002-01-26,23,28,29,34,42,44,False,0.0
333,2002-01-30,4,27,35,44,52,53,False,0.0
334,2002-02-02,14,23,24,26,41,51,False,0.0
335,2002-02-06,7,23,33,43,57,59,False,0.0
336,2002-02-09,2,18,22,26,30,54,False,0.0
337,2002-02-16,4,14,16,31,52,54,False,0.0
338,2002-02-20,1,4,9,36,46,48,False,0.0
339,2002-02-23,5,12,13,16,27,50,False,0.0
340,2002-02-27,9,10,12,33,42,60,False,0.0
341,2002-03-02,5,16,22,23,43,56,False,0.0
342,2002-03-06,16,29,34,49,51,54,False,0.0
343,2002-03-09,4,6,7,12,24,41,False,0.0
344,2002-03-13,10,12,14,33,35,36,False,0.0
345,2002-03-16,11,22,46,51,56,58,False,0.0
346,2002-03-20,7,12,41,46,56,60,False,0.0
347,2002-03-23,1,10,12,26,48,52,False,0.0
348,2002-03-27,19,30,33,39,40,52,False,0.0
349,2002-03-30,8,9,28,32,38,54,False,0.0
350,2002-04-03,10,15,23,30,43,57,False,0.0
351,2002-04-06,15,16,24,41,59,60,False,0.0
352,2002-04-10,7,20,25,44,47,49,False,0.0
353,2002-04-13,19,23,30,46,55,60,False,0.0
354,2002-04-17,7,16,38,40,41,52,False,0.0
355,2002-04-20,2,14,22,23,37,60,False,0.0
356,2002-04-24,5,19,21,54,56,58,False,0.0
357,2002-04-27,2,30,32,35,45,53,False,0.0
358,2002-05-04,12,17,21,32,40,42,False,0.0
359,2002-05-08,13,19,20,29,31,54,False,0.0
360,2002-05-11,23,24,29,47,53,55,False,0.0
361,2002-05-15,16,28,31,41,45,59,False,0.0
362,2002-05-18,7,20,33,37,46,56,False,0.0
363,2002-05-22,19,29,39,47,49,54,False,0.0
364,2002-05-25,5,29,44,51,57,59,False,0.0
365,2002-05-29,19,23,34,37,52,58,False,0.0
366,2002-06-01,4,6,7,15,21,51,False,0.0
367,2002-06-05,10,12,27,33,49,52,False,0.0
368,2002-06-08,13,29,32,38,44,50,False,0.0
369,2002-06-12,1,14,21,35,42,60,False,0.0
370,2002-06-15,1,4,40,42,51,54,False,0.0
371,2002-06-19,4,18,23,33,39,60,False,0.0
372,2002-06-22,16,17,24,39,46,57,False,0.0
373,2002-06-26,1,5,10,24,31,33,False,0.0
374,2002-06-29,2,5,16,26,44,54,False,0.0
375,2002-07-03,1,5,9,42,51,58,False,0.0
376,2002-07-06,10,13,25,35,43,48,False,0.0
377,2002-07-10,3,12,19,27,45,46,False,0.0
378,2002-07-13,5,38,41,45,48,55,False,0.0
379,2002-07-17,24,33,40,41,55,59,False,0.0
380,2002-07-20,13,22,30,31,47,57,False,0.0
381,2002-07-24,9,10,28,46,55,56,False,0.0
382,2002-07-27,31,34,37,38,53,54,False,0.0
383,2002-07-31,14,22,48,50,53,56,False,0.0
384,2002-08-03,24,28,40,47,50,52,False,0.0
385,2002-08-07,5,12,16,18,22,24,False,0.0
386,2002-08-10,17,35,36,39,43,54,False,0.0
387,2002-08-14,22,28,29,43,47,48,False,0.0
388,2002-08-17,23,36,48,52,53,58,False,0.0
389,2002-08-21,5,14,18,43,46,54,False,0.0
390,2002-08-24,7,12,22,34,38,53,False,0.0
391,2002-08-28,4,7,15,16,35,40,False,0.0
392,2002-08-31,15,23,31,39,47,49,False,0.0
393,2002-09-04,6,12,35,36,40,50,False,0.0
394,2002-09-07,5,15,35,42,45,49,False,0.0
395,2002-09-11,10,11,14,20,31,58,False,0.0
396,2002-09-14,6,18,34,42,45,47,False,0.0
397,2002-09-18,1,2,5,24,32,46,False,0.0
398,2002-09-21,7,16,22,28,36,37,False,0.0
399,2002-09-25,11,16,27,47,55,59,False,0.0
400,2002-09-28,10,13,28,29,54,59,False,0.0
401,2002-10-02,11,18,43,44,50,53,False,0.0
402,2002-10-05,5,16,27,43,56,58,False,0.0
403,2002-10-09,7,16,27,31,46,60,False,0.0
404,2002-10-12,1,24,28,38,40,58,False,0.0
405,2002-10-16,24,29,34,47,57,60,False,0.0
406,2002-10-19,2,12,32,38,47,48,False,0.0
407,2002-10-23,2,18,22,49,51,57,False,0.0
408,2002-10-26,14,28,33,44,49,56,False,0.0
409,2002-10-30,18,25,26,31,34,49,False,0.0
410,2002-11-02,8,24,31,36,38,55,False,0.0
411,2002-11-06,10,12,31,38,45,56,False,0.0
412,2002-11-09,5,12,14,21,45,59,False,0.0
413,2002-11-13,2,4,29,33,35,53,False,0.0
414,2002-11-16,16,26,35,45,52,58,False,0.0
415,2002-11-20,1,4,27,38,42,44,False,0.0
416,2002-11-23,1,13,23,33,54,56,False,0.0
417,2002-11-27,7,12,21,25,34,42,False,0.0
418,2002-11-30,8,15,32,45,49,52,False,0.0
419,2002-12-04,9,16,41,42,52,53,False,0.0
420,2002-12-07,12,29,30,43,57,59,False,0.0
421,2002-12-11,5,35,37,38,45,51,False,0.0
422,2002-12-14,12,37,43,55,56,60,False,0.0
423,2002-12-18,8,22,32,33,40,53,False,0.0
424,2002-12-21,18,27,29,36,46,59,False,0.0
425,2002-12-28,6,10,16,34,42,47,False,0.0
426,2003-01-04,7,30,32,37,50,54,False,0.0
427,2003-01-08,3,13,14,24,43,51,False,0.0
428,2003-01-11,8,28,30,32,46,60,False,0.0
429,2003-01-15,17,26,32,36,43,55,False,0.0
430,2003-01-18,8,10,21,25,38,50,False,0.0
431,2003-01-22,26,37,40,47,52,58,False,0.0
432,2003-01-25,4,13,17,27,39,50,False,0.0
433,2003-01-29,16,17,28,30,36,54,False,0.0
434,2003-02-01,4,10,17,24,30,54,False,0.0
435,2003-02-05,10,11,17,31,37,43,False,0.0
436,2003-02-08,1,6,7,29,48,57,False,0.0
437,2003-02-12,7,10,30,44,54,59,False,0.0
438,2003-02-15,3,5,11,14,38,48,False,0.0
439,2003-02-19,13,20,29,42,43,57,False,0.0
440,2003-02-22,3,5,23,30,46,47,False,0.0
441,2003-02-26,2,10,15,21,58,59,False,0.0
442,2003-03-01,6,15,23,31,37,59,False,0.0
443,2003-03-08,11,17,26,36,48,52,False,0.0
444,2003-03-12,3,24,33,48,52,57,False,0.0
445,2003-03-15,7,20,31,32,50,53,False,0.0
446,2003-03-19,8,11,12,17,20,47,False,0.0
447,2003-03-22,15,24,25,33,42,55,False,0.0
448,2003-03-26,3,5,9,45,51,52,False,0.0
449,2003-03-29,1,8,24,34,49,56,False,0.0
450,2003-04-02,1,9,13,50,51,59,False,0.0
451,2003-04-05,17,18,23,28,31,53,False,0.0
452,2003-04-09,11,16,30,36,51,54,False,0.0
453,2003-04-12,8,20,23,34,52,58,False,0.0
454,2003-04-16,4,17,24,42,46,56,False,0.0
455,2003-04-19,2,14,15,17,50,59,False,0.0
456,2003-04-23,3,17,22,27,33,40,False,0.0
457,2003-04-26,15,17,24,27,32,48,False,0.0
458,2003-04-30,13,24,32,34,43,53,False,0.0
459,2003-05-03,8,15,17,39,43,49,False,0.0
460,2003-05-07,19,23,30,37,49,55,False,0.0
461,2003-05-10,15,17,20,29,30,60,False,0.0
462,2003-05-14,17,19,22,26,27,48,False,0.0
463,2003-05-17,2,3,7,18,45,53,False,0.0
464,2003-05-21,6,24,33,38,45,50,False,0.0
465,2003-05-24,1,22,31,46,51,57,False,0.0
466,2003-05-28,11,16,28,29,30,45,False,0.0
467,2003-05-31,8,18,21,22,38,60,False,0.0
468,2003-06-04,5,6,23,25,39,51,False,0.0
469,2003-06-07,13,21,26,29,42,47,False,0.0
470,2003-06-11,8,11,23,37,51,58,False,0.0
471,2003-06-14,5,31,32,36,51,59,False,0.0
472,2003-06-18,3,4,12,29,38,51,False,0.0
473,2003-06-21,7,23,41,49,51,58,False,0.0
474,2003-06-25,3,12,32,34,40,50,False,0.0
475,2003-06-28,6,8,19,22,43,52,False,0.0
476,2003-07-02,17,20,38,43,55,58,False,0.0
477,2003-07-05,6,8,18,34,38,47,False,0.0
478,2003-07-09,3,8,21,25,30,31,False,0.0
479,2003-07-12,20,26,41,46,54,58,False,0.0
480,2003-07-16,14,33,36,38,41,49,False,0.0
481,2003-07-19,6,13,22,24,42,44,False,0.0
482,2003-07-23,12,13,33,53,54,56,False,0.0
483,2003-07-26,16,18,23,35,44,59,False,0.0
484,2003-07-30,17,18,19,38,49,53,False,0.0
485,2003-08-02,19,28,30,38,52,57,False,0.0
486,2003-08-06,8,14,19,30,42,50,False,0.0
487,2003-08-09,8,22,25,48,52,54,False,0.0
488,2003-08-13,15,30,35,39,43,57,False,0.0
489,2003-08-16,17,28,33,36,53,59,False,0.0
490,2003-08-20,5,11,23,29,54,58,False,0.0
491,2003-08-23,1,9,15,22,43,55,False,0.0
492,2003-08-27,2,6,15,18,56,57,False,0.0
493,2003-08-30,3,18,20,24,42,54,False,0.0
494,2003-09-03,18,20,28,32,49,53,False,0.0
495,2003-09-06,8,15,29,36,49,60,False,0.0
496,2003-09-10,10,19,20,29,41,59,False,0.0
497,2003-09-13,9,13,20,32,41,58,False,0.0
498,2003-09-17,2,6,28,49,50,57,False,0.0
499,2003-09-20,1,4,5,11,44,59,False,0.0
500,2003-09-27,21,29,35,36,38,54,False,0.0
501,2003-10-01,16,27,28,34,39,56,False,0.0
502,2003-10-04,7,13,21,24,33,50,False,0.0
503,2003-10-08,7,10,21,27,48,49,False,0.0
504,2003-10-11,8,11,19,30,39,50,False,0.0
505,2003-10-15,3,20,28,46,47,52,False,0.0
506,2003-10-18,4,15,31,34,37,38,False,0.0
507,2003-10-22,3,5,27,33,44,58,False,0.0
508,2003-10-25,5,10,15,45,46,56,False,0.0
509,2003-10-29,28,32,33,34,35,55,False,0.0
510,2003-11-01,1,4,30,41,45,58,False,0.0
511,2003-11-05,3,4,8,34,36,37,False,0.0
512,2003-11-08,4,8,31,40,53,58,False,0.0
513,2003-11-12,10,19,27,33,39,46,False,0.0
514,2003-11-15,15,36,40,42,51,52,False,0.0
